airFlightNum,eventTime,eventPriority,eventType
UA21168,23580,1,0
UA21175,23580,1,0
UA20064,23580,1,1
UA20073,23580,1,1
UA20410,23580,1,1
UA21149,23580,1,1
UA20061,23581,1,0
UA20538,23640,1,0
UA20593,23640,1,0
UA21277,23640,1,0
UA20852,23640,1,1
UA21168,23640,1,1
UA21175,23640,1,1
UA20061,23641,1,1
UA21168,618,1,2
UA21168,678,1,3
UA21144,1118,1,2
UA21144,1178,1,3
UA10757,1700,1,2
UA10757,1760,1,3
UA10719,1865,1,2
UA10719,1925,1,3
UA10023,2059,1,2
UA10023,2119,1,3
UA20061,2360,1,2
UA20061,2420,1,3
UA20852,2790,1,2
UA20852,2850,1,3
UA10144,3094,1,2
UA10144,3154,1,3
UA10316,4500,1,2
UA10316,4560,1,3
UA21175,5949,1,2
UA21175,6009,1,3
UA10352,6501,1,2
UA10352,6561,1,3
UA10625,7386,1,2
UA10625,7446,1,3
UA11267,10094,1,2
UA11267,10154,1,3
UA20113,10808,1,2
UA20113,10868,1,3
UA20064,14389,10,2
UA20064,14449,1,3
UA21149,14991,10,2
UA21149,15051,1,3
UA20126,23700,1,0
UA20535,23700,1,0
UA20663,23700,1,0
UA20916,23700,1,0
UA20538,23700,1,1
UA20593,23700,1,1
UA21277,23700,1,1
UA20291,23760,1,0
UA20805,23760,1,0
UA21157,23760,1,0
UA20126,23760,1,1
UA20535,23760,1,1
UA20663,23760,1,1
UA20916,23760,1,1
UA20239,23820,1,0
UA20454,23820,1,0
UA20544,23820,1,0
UA20628,23820,1,0
UA20291,23820,1,1
UA20805,23820,1,1
UA21157,23820,1,1
UA20123,23880,1,0
UA21148,23880,1,0
UA21188,23880,1,0
UA21193,23880,1,0
UA21204,23880,1,0
UA20239,23880,1,1
UA20454,23880,1,1
UA20544,23880,1,1
UA20628,23880,1,1
UA20237,23940,1,0
UA20240,23940,1,0
UA21061,23940,1,0
UA21077,23940,1,0
UA21102,23940,1,0
UA20123,23940,1,1
UA21148,23940,1,1
UA21188,23940,1,1
UA21193,23940,1,1
UA21204,23940,1,1
UA10884,1241,1,2
UA10884,1301,1,3
UA10726,1526,1,2
UA10726,1586,1,3
UA10020,2059,1,2
UA10020,2119,1,3
UA20538,3354,1,2
UA20538,3414,1,3
UA11394,3703,1,2
UA11394,3763,1,3
UA10022,4797,1,2
UA10022,4857,1,3
UA20123,6244,1,2
UA20123,6304,1,3
UA21157,12066,1,2
UA21157,12126,1,3
UA20239,12780,1,2
UA20239,12840,1,3
UA10097,14755,10,2
UA10097,14815,1,3
UA20454,14941,10,2
UA21204,14941,10,2
UA20454,15001,1,3
